Messages,Labels
"Je me sens bien aujourd'hui.",stress_faible
"Je suis un peu fatigué, mais ça va.",stress_faible
"Je n'ai pas de problèmes majeurs en ce moment.",stress_faible
"Tout se passe bien avec mes études.",stress_faible
"J'ai passé une bonne journée, pas de stress.",stress_faible
"Je me sens légèrement débordé.",stress_moderer
"Parfois, je manque de temps pour tout faire.",stress_moderer
"Mon sommeil est perturbé ces derniers temps.",stress_moderer
"Je ressens une pression constante au travail.",stress_moderer
"Je ne parviens pas à rester concentré longtemps.",stress_moderer
"Je me sens vraiment stressé à cause des examens.",stress_eleve
"Je n'arrive pas à gérer toutes mes responsabilités.",stress_eleve
"Je dors très mal ces jours-ci.",stress_eleve
"J'ai des maux de tête à cause de la pression.",stress_eleve
"Je suis complètement débordé, je ne sais pas quoi faire.",stress_eleve
"Je suis content de mes progrès cette semaine.",stress_faible
"Les projets avancent bien pour l'instant.",stress_faible
"Je n'ai rien à signaler de stressant.",stress_faible
"J'ai ressenti un peu de pression au travail.",stress_moderer
"Les échéances commencent à m'inquiéter.",stress_moderer
"Je suis fatigué à force de travailler tard.",stress_moderer
"Je me sens dépassé par tout ce que j'ai à faire.",stress_eleve
"Les autres m'énervent beaucoup ces derniers jours.",stress_eleve
"Je ne veux parler à personne à cause du stress.",stress_eleve
"Je suis très tendu tout le temps.",stress_eleve
"Tout va bien, pas de stress majeur.",stress_faible
"Je ressens un peu de stress à cause de mes devoirs.",stress_moderer
"J'ai du mal à respecter les délais.",stress_moderer
"Mes responsabilités au travail sont écrasantes.",stress_eleve
"Je suis constamment stressé ces derniers temps.",stress_eleve
"Rien ne semble m'inquiéter pour le moment.",stress_faible
"Je ressens une petite charge, mais je peux gérer.",stress_moderer
"Je suis très frustré par la quantité de travail.",stress_eleve
"Je sens que je commence à perdre le contrôle.",stress_eleve
"Tout va bien, merci de demander.",stress_faible
"J'ai besoin de trouver un moyen de mieux organiser mon temps.",stress_moderer
"Je sens que je vais craquer à cause de tout ce stress.",stress_eleve
"Je suis calme et détendu aujourd'hui.",stress_faible
"J'ai eu une journée un peu chargée, mais ça va.",stress_moderer
"Je n'arrive plus à dormir à cause de l'angoisse.",stress_eleve
"Je me sens pris au piège par mes responsabilités.",stress_eleve
"Je ressens une légère pression pour terminer à temps.",stress_moderer
"Tout va bien, rien de stressant.",stress_faible
"Je n'arrive pas à me concentrer au travail.",stress_moderer
"Je suis inquiet pour mon avenir.",stress_moderer
"Je suis tellement stressé que je ne peux plus réfléchir correctement.",stress_eleve
"J'essaie de rester calme malgré les défis.",stress_faible
"J'ai l'impression que je cours partout sans résultat.",stress_moderer
"Je sens que mon stress augmente chaque jour.",stress_eleve